Fecha;Hora;Sistema;ETD;Detector;0-50 (km/h);50-80 (km/h);80-120 (km/h);120-255 (km/h);Velocidad media (km/h);0-6 (m);6-999 (m);Vehículos totales;
2025-10-13;01:00:00 - 01:30:00;GI-2132;[GI-2132] 71-ETD LASARTE-ORIA-ASTIGARRAGA, GI-2132 pk 1,000, GI-2132 pk 2,500;Lento LASARTE-ORIA;1;8;1;0;64,5;10;0;10;
2025-10-13;01:00:00 - 01:30:00;N-634;[N-634] 104-ETD SAN SEBASTIÁN-SANTANDER, N-634 pk 0,100, N-634 pk 4,000;Lento SANTANDER;0;6;0;0;65;6;0;6;
2025-10-13;01:00:00 - 01:30:00;N-634;[N-634] 104-ETD SAN SEBASTIÁN-SANTANDER, N-634 pk 0,100, N-634 pk 4,000;Lento SAN SEBASTIÁN;1;8;2;0;67,73;10;1;11;
2025-10-13;01:00:00 - 01:30:00;GI-3630;[GI-3630] 190-ETD ASTEASU-ANOETA, GI-3630 pk 0,000, GI-3630 pk 9,000;Lento ASTEASU;0;0;0;0;0,0;0;0;0;
2025-10-13;01:00:00 - 01:30:00;N-121-A;[N-121-A] 295-ETD BEHOBIA, GI-636-NAVARRA, N-121-A pk 74,500, N-121-A pk 75,000;Lento BEHOBIA, GI-636;10;4;0;0;36,43;14;0;14;
2025-10-13;01:00:00 - 01:30:00;N-121-A;[N-121-A] 295-ETD BEHOBIA, GI-636-NAVARRA, N-121-A pk 74,500, N-121-A pk 75,000;Central BEHOBIA, GI-636;4;1;0;0;33;5;0;5;
2025-10-13;01:00:00 - 01:30:00;N-121-A;[N-121-A] 295-ETD BEHOBIA, GI-636-NAVARRA, N-121-A pk 74,500, N-121-A pk 75,000;Lento NAVARRA;5;0;0;0;25;5;0;5;
2025-10-13;01:00:00 - 01:30:00;N-121-A;[N-121-A] 295-ETD BEHOBIA, GI-636-NAVARRA, N-121-A pk 74,500, N-121-A pk 75,000;Central NAVARRA;7;0;0;0;25;6;1;7;
2025-10-13;01:00:00 - 01:30:00;GI-636;[GI-636] 253-ETD IRUN-PASAIA, GI-636 pk 2,100, GI-636 pk 2,600;Central IRUN;1;3;4;0;77,5;8;0;8;
2025-10-13;01:00:00 - 01:30:00;GI-636;[GI-636] 253-ETD IRUN-PASAIA, GI-636 pk 2,100, GI-636 pk 2,600;Lento IRUN;0;23;14;0;78,24;33;4;37;
2025-10-13;01:00:00 - 01:30:00;GI-636;[GI-636] 253-ETD IRUN-PASAIA, GI-636 pk 2,100, GI-636 pk 2,600;Central PASAIA;0;1;1;0;82,5;2;0;2;
